Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
"Yves Saint Laurent - Black Opium Intense",ბრენდი,"Yves Saint Laurent",1,1,მოცულობა,100ML,1,1
"Yves Saint Laurent - Black Opium Extreme",ბრენდი,"Yves Saint Laurent",1,1,მოცულობა,100ML,1,1
"Tom Ford - Vanille Fatale",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Tom Ford - Soleil Brulant",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Tom Ford - Santal Blush",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Byredo - Marijuana",ბრენდი,Byredo,1,1,მოცულობა,100ML,1,1
"Byredo - Super Cedar",ბრენდი,Byredo,1,1,მოცულობა,100ML,1,1
"Byredo - Black Saffron",ბრენდი,Byredo,1,1,მოცულობა,100ML,1,1
"Byredo - Blanche",ბრენდი,Byredo,1,1,მოცულობა,100ML,1,1
"Tom Ford - Noir Extreme",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Orto Parisi - Viride",ბრენდი,"Orto Parisi",1,1,მოცულობა,50ML,1,1
"Xerjoff - Naxos 1861",ბრენდი,Xerjoff,1,1,მოცულობა,100ML,1,1
"Jean Paul Gaultier - Le Beau EDT",ბრენდი,"Jean Paul Gaultier",1,1,მოცულობა,75ML,1,1
"Jean Paul Gaultier - Divine",ბრენდი,"Jean Paul Gaultier",1,1,მოცულობა,100ML,1,1
"Jean Paul Gaultier - Scandal",ბრენდი,"Jean Paul Gaultier",1,1,მოცულობა,100ML,1,1
"Jean Paul Gaultier - Scandal Pour Homme",ბრენდი,"Jean Paul Gaultier",1,1,მოცულობა,100ML,1,1
"Givenchy - Gentleman",ბრენდი,Givenchy,1,1,მოცულობა,100ML,1,1
"Givenchy - Society",ბრენდი,Givenchy,1,1,მოცულობა,100ML,1,1
"Tiziana Terenzi - Andromeda",ბრენდი,"Tiziana Terenzi",1,1,მოცულობა,100ML,1,1
"Kilian - Good Girl Gone Bad Extreme",ბრენდი,Kilian,1,1,მოცულობა,50ML,1,1
"Kilian - Black Phantom",ბრენდი,Kilian,1,1,მოცულობა,50ML,1,1
"Maison Francis Kurkdjian - Grand Soir",ბრენდი,"Maison Francis Kurkdjian",1,1,მოცულობა,75ML,1,1
"Maison Francis Kurkdjian - 724",ბრენდი,"Maison Francis Kurkdjian",1,1,მოცულობა,75ML,1,1
"Marc Antoine Barrois - Encelade",ბრენდი,"Marc Antoine Barrois",1,1,მოცულობა,100ML,1,1
"Jean Paul Gaultier - Le Male Elixir",ბრენდი,"Jean Paul Gaultier",1,1,მოცულობა,120ML,1,1
"Jean Paul Gaultier - La Belle",ბრენდი,"Jean Paul Gaultier",1,1,მოცულობა,100ML,1,1
"Dior - Sauvage Elixir",ბრენდი,Dior,1,1,მოცულობა,60ML,1,1
